student_id,first_name,middle_name,last_name,gender,email,phone_number,department,branch,year_of_study,skills,cgpa,birthday,projects,applications,password
se24uciv002,Theresa,,Parks,Male,se24uciv002@mahindrauniversity.edu.in,(+91) 8489067750,Civil Engineering,civ,1,"['Web Development', 'Networking', 'Data Analysis']",9.46,2006-06-17,"['sa_electrical_02', 'mr_civil_01', 'lf_artificial_03', 'iw_electronics_01', 'wd_civil_02']","['sa_electrical_02@se24uciv002', 'mr_civil_01@se24uciv002', 'lf_artificial_03@se24uciv002', 'iw_electronics_01@se24uciv002', 'wd_civil_02@se24uciv002']",se24uciv002@Theresa
se21ucab002,Thomas,,Ramirez,Other,se21ucab002@mahindrauniversity.edu.in,(+91) 8655830358,Computational Biology,cab,4,"['Networking', 'Data Analysis', 'Embedded Systems', 'Web Development']",8.66,2004-05-05,['db_electronics_05'],['db_electronics_05@se21ucab002'],se21ucab002@Thomas
se24ucse003,Michael,Marissa,Simmons,Female,se24ucse003@mahindrauniversity.edu.in,(+91) 6393899548,Computer Science,cse,1,"['Python', 'Embedded Systems', 'Machine Learning', 'Networking', 'Web Development']",8.43,2001-07-10,"['iw_electronics_03', 'wd_civil_02', 'lf_artificial_01', 'sa_electrical_01', 'sm_mechanical_02']","['iw_electronics_03@se24ucse003', 'wd_civil_02@se24ucse003', 'lf_artificial_01@se24ucse003', 'sa_electrical_01@se24ucse003', 'sm_mechanical_02@se24ucse003']",se24ucse003@Michael
se24ueee002,Valerie,,Carrillo,Male,se24ueee002@mahindrauniversity.edu.in,(+91) 7378446979,Electrical Engineering,eee,1,"['Python', 'Web Development', 'Networking']",6.76,2006-06-07,['mr_civil_01'],['mr_civil_01@se24ueee002'],se24ueee002@Valerie
se22ubit004,Karen,,Lee,Female,se22ubit004@mahindrauniversity.edu.in,(+91) 7622064747,Bio Technology,bit,3,"['Machine Learning', 'Embedded Systems', 'Data Analysis']",9.35,2003-12-22,"['wd_civil_01', 'db_electronics_04', 'eg_artificial_01']","['wd_civil_01@se22ubit004', 'db_electronics_04@se22ubit004', 'eg_artificial_01@se22ubit004']",se22ubit004@Karen
se21uari002,Benjamin,,Thornton,Male,se21uari002@mahindrauniversity.edu.in,(+91) 6165192945,Artificial Intelligence,ari,4,"['Python', 'Machine Learning']",7.62,2000-06-28,['lf_artificial_04'],['lf_artificial_04@se21uari002'],se21uari002@Benjamin
se21uari003,Kathy,Melissa,Thompson,Other,se21uari003@mahindrauniversity.edu.in,(+91) 7576246696,Artificial Intelligence,ari,4,"['Data Analysis', 'Networking']",9.6,2006-10-15,"['ss_electronics_01', 'dm_computer_01']","['ss_electronics_01@se21uari003', 'dm_computer_01@se21uari003']",se21uari003@Kathy
se24uece001,Shawn,,Miles,Other,se24uece001@mahindrauniversity.edu.in,(+91) 6932430876,Electronics and Communication,ece,1,"['Embedded Systems', 'Networking', 'Python']",8.45,2002-04-24,"['jl_computer_01', 'cr_electrical_02', 'ar_artificial_03', 'ar_artificial_02']","['jl_computer_01@se24uece001', 'cr_electrical_02@se24uece001', 'ar_artificial_03@se24uece001', 'ar_artificial_02@se24uece001']",se24uece001@Shawn
se21uecm003,Ashley,Dan,Vasquez,Other,se21uecm003@mahindrauniversity.edu.in,(+91) 7582973995,Electronics and Computation,ecm,4,"['Embedded Systems', 'Web Development', 'Python']",6.8,2006-01-29,"['sm_mechanical_01', 'ss_electronics_03']","['sm_mechanical_01@se21uecm003', 'ss_electronics_03@se21uecm003']",se21uecm003@Ashley
se22ubit005,Steven,,Donaldson,Other,se22ubit005@mahindrauniversity.edu.in,(+91) 6991989017,Bio Technology,bit,3,"['Embedded Systems', 'Networking']",7.24,2001-09-24,['mw_computer_01'],['mw_computer_01@se22ubit005'],se22ubit005@Steven
se21uari004,Kimberly,,Ewing,Male,se21uari004@mahindrauniversity.edu.in,(+91) 9924597419,Artificial Intelligence,ari,4,"['Data Analysis', 'Python', 'Web Development', 'Machine Learning']",8.14,2002-01-29,"['jl_computer_04', 'gh_artificial_01']","['jl_computer_04@se21uari004', 'gh_artificial_01@se21uari004']",se21uari004@Kimberly
se24uece002,Ana,,Schultz,Male,se24uece002@mahindrauniversity.edu.in,(+91) 9659852335,Electronics and Communication,ece,1,"['Machine Learning', 'Data Analysis', 'Python']",7.35,2003-12-27,"['kb_computational_02', 'jl_computer_02', 'tm_computational_03']","['kb_computational_02@se24uece002', 'jl_computer_02@se24uece002', 'tm_computational_03@se24uece002']",se24uece002@Ana
se22uari005,Ian,,Bailey,Female,se22uari005@mahindrauniversity.edu.in,(+91) 8872453395,Artificial Intelligence,ari,3,"['Machine Learning', 'Web Development', 'Python', 'Networking']",6.3,2002-01-29,"['jl_computer_03', 'lf_artificial_02', 'yg_mechanical_01']","['jl_computer_03@se22uari005', 'lf_artificial_02@se22uari005', 'yg_mechanical_01@se22uari005']",se22uari005@Ian
se22uari006,Andrew,,Velazquez,Other,se22uari006@mahindrauniversity.edu.in,(+91) 8993336162,Artificial Intelligence,ari,3,"['Data Analysis', 'Web Development', 'Machine Learning', 'Python', 'Embedded Systems']",6.43,2003-07-12,['ss_electronics_01'],['ss_electronics_01@se22uari006'],se22uari006@Andrew
se21ubit006,Rebecca,,Martinez,Male,se21ubit006@mahindrauniversity.edu.in,(+91) 7916119376,Bio Technology,bit,4,"['Machine Learning', 'Web Development', 'Embedded Systems']",9.15,2001-06-09,"['eg_artificial_02', 'iw_electronics_02', 'mr_civil_02', 'wd_civil_02', 'ar_artificial_01']","['eg_artificial_02@se21ubit006', 'iw_electronics_02@se21ubit006', 'mr_civil_02@se21ubit006', 'wd_civil_02@se21ubit006', 'ar_artificial_01@se21ubit006']",se21ubit006@Rebecca
se22ueee003,Tina,,Guerrero,Female,se22ueee003@mahindrauniversity.edu.in,(+91) 9775174541,Electrical Engineering,eee,3,"['Web Development', 'Data Analysis', 'Embedded Systems', 'Machine Learning']",7.21,2001-08-21,"['eg_artificial_02', 'tm_computational_03', 'db_electronics_02', 'sa_electrical_01']","['eg_artificial_02@se22ueee003', 'tm_computational_03@se22ueee003', 'db_electronics_02@se22ueee003', 'sa_electrical_01@se22ueee003']",se22ueee003@Tina
se24uecm004,Jerry,,Jenkins,Other,se24uecm004@mahindrauniversity.edu.in,(+91) 8562068199,Electronics and Computation,ecm,1,"['Python', 'Embedded Systems', 'Web Development']",6.61,2002-02-04,"['kh_mechanical_02', 'dm_computer_02', 'lf_artificial_02']","['kh_mechanical_02@se24uecm004', 'dm_computer_02@se24uecm004', 'lf_artificial_02@se24uecm004']",se24uecm004@Jerry
se22ucse004,Matthew,,Howard,Male,se22ucse004@mahindrauniversity.edu.in,(+91) 6580226840,Computer Science,cse,3,"['Embedded Systems', 'Web Development', 'Data Analysis', 'Python', 'Machine Learning']",7.42,2003-07-30,"['ar_artificial_01', 'db_electronics_03', 'dm_computer_02', 'db_electronics_04']","['ar_artificial_01@se22ucse004', 'db_electronics_03@se22ucse004', 'dm_computer_02@se22ucse004', 'db_electronics_04@se22ucse004']",se22ucse004@Matthew
se24ubit007,James,,Garcia,Other,se24ubit007@mahindrauniversity.edu.in,(+91) 6239938348,Bio Technology,bit,1,"['Embedded Systems', 'Python', 'Web Development', 'Data Analysis', 'Machine Learning']",7.27,2001-07-17,"['ar_artificial_03', 'mw_computer_03', 'eg_artificial_01', 'tm_computational_02']","['ar_artificial_03@se24ubit007', 'mw_computer_03@se24ubit007', 'eg_artificial_01@se24ubit007', 'tm_computational_02@se24ubit007']",se24ubit007@James
se24ucam003,Jose,,Nelson,Other,se24ucam003@mahindrauniversity.edu.in,(+91) 8711092256,Computational Mathematics,cam,1,"['Embedded Systems', 'Networking', 'Python', 'Web Development', 'Machine Learning']",7.36,2004-01-07,"['ar_artificial_01', 'eg_artificial_01', 'kh_mechanical_01', 'sm_mechanical_01', 'mr_civil_02']","['ar_artificial_01@se24ucam003', 'eg_artificial_01@se24ucam003', 'kh_mechanical_01@se24ucam003', 'sm_mechanical_01@se24ucam003', 'mr_civil_02@se24ucam003']",se24ucam003@Jose
se23uari007,Katrina,Sean,Reyes,Male,se23uari007@mahindrauniversity.edu.in,(+91) 6713790187,Artificial Intelligence,ari,2,"['Networking', 'Web Development', 'Data Analysis', 'Machine Learning', 'Embedded Systems']",6.06,2003-08-26,"['cr_electrical_01', 'cm_bio_01']","['cr_electrical_01@se23uari007', 'cm_bio_01@se23uari007']",se23uari007@Katrina
se24ucab003,Tammy,Christine,Duffy,Male,se24ucab003@mahindrauniversity.edu.in,(+91) 8570506273,Computational Biology,cab,1,"['Networking', 'Data Analysis']",9.12,2003-04-26,"['cm_bio_02', 'eg_artificial_02']","['cm_bio_02@se24ucab003', 'eg_artificial_02@se24ucab003']",se24ucab003@Tammy
se24ubit008,Jennifer,Connor,Mcconnell,Other,se24ubit008@mahindrauniversity.edu.in,(+91) 6683971843,Bio Technology,bit,1,"['Machine Learning', 'Python', 'Networking']",7.97,2002-03-23,['wd_civil_01'],['wd_civil_01@se24ubit008'],se24ubit008@Jennifer
se22ucse005,Justin,Sheryl,Morrison,Other,se22ucse005@mahindrauniversity.edu.in,(+91) 7857948483,Computer Science,cse,3,"['Networking', 'Data Analysis', 'Web Development', 'Embedded Systems']",9.93,2003-08-10,['ej_bio_01'],['ej_bio_01@se22ucse005'],se22ucse005@Justin
se23umec002,Keith,Dawn,Morris,Female,se23umec002@mahindrauniversity.edu.in,(+91) 6619240831,Mechanical Engineering,mec,2,"['Web Development', 'Python']",8.31,2007-02-17,"['mw_computer_02', 'ss_electronics_03', 'ar_artificial_03', 'eg_artificial_02']","['mw_computer_02@se23umec002', 'ss_electronics_03@se23umec002', 'ar_artificial_03@se23umec002', 'eg_artificial_02@se23umec002']",se23umec002@Keith
se22ubit009,Zachary,,Parker,Female,se22ubit009@mahindrauniversity.edu.in,(+91) 7495797234,Bio Technology,bit,3,"['Web Development', 'Data Analysis', 'Machine Learning']",8.86,2006-05-15,"['mw_computer_03', 'gh_artificial_04', 'mw_computer_02', 'kr_electronics_01', 'jl_computer_04']","['mw_computer_03@se22ubit009', 'gh_artificial_04@se22ubit009', 'mw_computer_02@se22ubit009', 'kr_electronics_01@se22ubit009', 'jl_computer_04@se22ubit009']",se22ubit009@Zachary
se24uari008,Kevin,,Hines,Female,se24uari008@mahindrauniversity.edu.in,(+91) 6200595005,Artificial Intelligence,ari,1,"['Networking', 'Machine Learning']",9.62,2003-06-24,"['cr_electrical_02', 'mr_civil_01', 'ar_artificial_02', 'mr_civil_02']","['cr_electrical_02@se24uari008', 'mr_civil_01@se24uari008', 'ar_artificial_02@se24uari008', 'mr_civil_02@se24uari008']",se24uari008@Kevin
se21ucab004,Betty,,Rodriguez,Male,se21ucab004@mahindrauniversity.edu.in,(+91) 9185852180,Computational Biology,cab,4,"['Embedded Systems', 'Data Analysis', 'Python']",9.86,2006-03-22,"['cb_computer_01', 'cr_electrical_03', 'gh_artificial_03']","['cb_computer_01@se21ucab004', 'cr_electrical_03@se21ucab004', 'gh_artificial_03@se21ucab004']",se21ucab004@Betty
se23ucab005,Gerald,,Savage,Other,se23ucab005@mahindrauniversity.edu.in,(+91) 8743462399,Computational Biology,cab,2,"['Python', 'Embedded Systems', 'Machine Learning']",6.32,2002-12-11,"['kh_mechanical_02', 'mw_computer_03', 'jl_computer_01']","['kh_mechanical_02@se23ucab005', 'mw_computer_03@se23ucab005', 'jl_computer_01@se23ucab005']",se23ucab005@Gerald
se22ucam004,Lisa,Kevin,Martinez,Male,se22ucam004@mahindrauniversity.edu.in,(+91) 7848746960,Computational Mathematics,cam,3,"['Data Analysis', 'Web Development']",8.87,2002-03-08,"['db_electronics_01', 'ar_artificial_02', 'lf_artificial_01', 'sm_mechanical_02', 'cb_computer_01']","['db_electronics_01@se22ucam004', 'ar_artificial_02@se22ucam004', 'lf_artificial_01@se22ucam004', 'sm_mechanical_02@se22ucam004', 'cb_computer_01@se22ucam004']",se22ucam004@Lisa
se23uari009,Edwin,Michael,Bennett,Male,se23uari009@mahindrauniversity.edu.in,(+91) 9971772775,Artificial Intelligence,ari,2,"['Networking', 'Machine Learning', 'Embedded Systems', 'Data Analysis']",7.47,2006-10-11,"['gh_artificial_04', 'cg_electronics_01', 'iw_electronics_02', 'db_electronics_02']","['gh_artificial_04@se23uari009', 'cg_electronics_01@se23uari009', 'iw_electronics_02@se23uari009', 'db_electronics_02@se23uari009']",se23uari009@Edwin
se23uecm005,Nancy,,Sullivan,Other,se23uecm005@mahindrauniversity.edu.in,(+91) 9157872384,Electronics and Computation,ecm,2,"['Networking', 'Machine Learning']",8.23,2003-10-16,['jl_computer_02'],['jl_computer_02@se23uecm005'],se23uecm005@Nancy
se22ueee004,Jeanette,,Waters,Other,se22ueee004@mahindrauniversity.edu.in,(+91) 7461805763,Electrical Engineering,eee,3,"['Embedded Systems', 'Python', 'Web Development', 'Machine Learning', 'Data Analysis']",9.65,2002-11-01,"['ss_electronics_01', 'ar_artificial_02', 'sm_mechanical_01']","['ss_electronics_01@se22ueee004', 'ar_artificial_02@se22ueee004', 'sm_mechanical_01@se22ueee004']",se22ueee004@Jeanette
se23ucab006,Mikayla,,Gonzalez,Male,se23ucab006@mahindrauniversity.edu.in,(+91) 8295202046,Computational Biology,cab,2,"['Data Analysis', 'Embedded Systems']",8.2,2005-09-08,"['kb_computational_01', 'ss_electronics_01', 'tm_computational_01', 'iw_electronics_03']","['kb_computational_01@se23ucab006', 'ss_electronics_01@se23ucab006', 'tm_computational_01@se23ucab006', 'iw_electronics_03@se23ucab006']",se23ucab006@Mikayla
se22uece003,Heather,,Collins,Other,se22uece003@mahindrauniversity.edu.in,(+91) 9356337257,Electronics and Communication,ece,3,"['Python', 'Machine Learning', 'Networking']",7.77,2003-09-28,"['mw_computer_03', 'sm_mechanical_01']","['mw_computer_03@se22uece003', 'sm_mechanical_01@se22uece003']",se22uece003@Heather
se22ubit010,Erin,,Smith,Female,se22ubit010@mahindrauniversity.edu.in,(+91) 9113520862,Bio Technology,bit,3,"['Web Development', 'Python']",9.27,2003-08-07,"['eg_artificial_01', 'cm_bio_02']","['eg_artificial_01@se22ubit010', 'cm_bio_02@se22ubit010']",se22ubit010@Erin
se21ucab007,Jennifer,,Arellano,Male,se21ucab007@mahindrauniversity.edu.in,(+91) 9816297465,Computational Biology,cab,4,"['Python', 'Embedded Systems', 'Data Analysis']",7.76,2003-11-23,"['sa_electrical_01', 'db_electronics_01']","['sa_electrical_01@se21ucab007', 'db_electronics_01@se21ucab007']",se21ucab007@Jennifer
se23uari010,Megan,,Obrien,Male,se23uari010@mahindrauniversity.edu.in,(+91) 9593685326,Artificial Intelligence,ari,2,"['Data Analysis', 'Python', 'Networking', 'Embedded Systems']",9.41,2006-09-01,['dm_computer_02'],['dm_computer_02@se23uari010'],se23uari010@Megan
se24ueee005,Kristin,,Sampson,Male,se24ueee005@mahindrauniversity.edu.in,(+91) 8631005860,Electrical Engineering,eee,1,"['Web Development', 'Machine Learning', 'Embedded Systems', 'Data Analysis']",7.7,2006-07-23,['jl_computer_04'],['jl_computer_04@se24ueee005'],se24ueee005@Kristin
se23ueee006,Christine,Rachael,Murphy,Male,se23ueee006@mahindrauniversity.edu.in,(+91) 7176662680,Electrical Engineering,eee,2,"['Web Development', 'Machine Learning', 'Data Analysis']",7.41,2001-12-03,"['kb_computational_01', 'cr_electrical_02']","['kb_computational_01@se23ueee006', 'cr_electrical_02@se23ueee006']",se23ueee006@Christine
se24uece004,Justin,Kayla,Noble,Other,se24uece004@mahindrauniversity.edu.in,(+91) 7830502894,Electronics and Communication,ece,1,"['Machine Learning', 'Networking', 'Python', 'Web Development', 'Data Analysis']",7.33,2004-04-07,"['ar_artificial_02', 'jl_computer_04', 'db_electronics_02']","['ar_artificial_02@se24uece004', 'jl_computer_04@se24uece004', 'db_electronics_02@se24uece004']",se24uece004@Justin
se23ucse006,Katie,Angela,Wilson,Male,se23ucse006@mahindrauniversity.edu.in,(+91) 6567436727,Computer Science,cse,2,"['Data Analysis', 'Python', 'Web Development', 'Machine Learning', 'Networking']",9.09,2003-01-20,"['ss_electronics_02', 'nw_electronics_01', 'mw_computer_03']","['ss_electronics_02@se23ucse006', 'nw_electronics_01@se23ucse006', 'mw_computer_03@se23ucse006']",se23ucse006@Katie
se22umec003,Autumn,,Richard,Male,se22umec003@mahindrauniversity.edu.in,(+91) 7952157633,Mechanical Engineering,mec,3,"['Embedded Systems', 'Web Development']",7.23,2006-12-06,['ss_electronics_02'],['ss_electronics_02@se22umec003'],se22umec003@Autumn
se22umec004,Ryan,,Blankenship,Other,se22umec004@mahindrauniversity.edu.in,(+91) 8605117931,Mechanical Engineering,mec,3,"['Embedded Systems', 'Web Development']",8.68,2006-11-09,['tm_computational_02'],['tm_computational_02@se22umec004'],se22umec004@Ryan
se23ueee007,Rebecca,Anthony,Cervantes,Female,se23ueee007@mahindrauniversity.edu.in,(+91) 8472436788,Electrical Engineering,eee,2,"['Data Analysis', 'Python', 'Web Development']",8.94,2003-09-08,"['eg_artificial_01', 'gh_artificial_02', 'sa_electrical_02']","['eg_artificial_01@se23ueee007', 'gh_artificial_02@se23ueee007', 'sa_electrical_02@se23ueee007']",se23ueee007@Rebecca
se24ubit011,Daniel,,Norton,Female,se24ubit011@mahindrauniversity.edu.in,(+91) 9748113586,Bio Technology,bit,1,"['Data Analysis', 'Python']",6.06,2001-09-21,"['tm_computational_02', 'ss_electronics_03', 'sa_electrical_02']","['tm_computational_02@se24ubit011', 'ss_electronics_03@se24ubit011', 'sa_electrical_02@se24ubit011']",se24ubit011@Daniel
se24uecm006,Cynthia,,Taylor,Female,se24uecm006@mahindrauniversity.edu.in,(+91) 6271768706,Electronics and Computation,ecm,1,"['Data Analysis', 'Python', 'Embedded Systems']",7.23,2005-12-10,"['db_electronics_03', 'cr_electrical_01', 'cr_electrical_02']","['db_electronics_03@se24uecm006', 'cr_electrical_01@se24uecm006', 'cr_electrical_02@se24uecm006']",se24uecm006@Cynthia
se22uari011,George,,Burke,Female,se22uari011@mahindrauniversity.edu.in,(+91) 6146761650,Artificial Intelligence,ari,3,"['Python', 'Data Analysis', 'Machine Learning', 'Networking']",7.09,2002-03-21,"['sa_electrical_02', 'tm_computational_03']","['sa_electrical_02@se22uari011', 'tm_computational_03@se22uari011']",se22uari011@George
se24ueee008,Martha,,Collins,Other,se24ueee008@mahindrauniversity.edu.in,(+91) 8140901043,Electrical Engineering,eee,1,"['Python', 'Web Development', 'Networking']",6.93,2004-08-24,"['sm_mechanical_01', 'wd_civil_02']","['sm_mechanical_01@se24ueee008', 'wd_civil_02@se24ueee008']",se24ueee008@Martha
se22umec005,Timothy,Eric,York,Other,se22umec005@mahindrauniversity.edu.in,(+91) 9212304472,Mechanical Engineering,mec,3,"['Networking', 'Machine Learning', 'Web Development', 'Embedded Systems']",8.89,2005-06-29,"['iw_electronics_01', 'sm_mechanical_02', 'gh_artificial_01']","['iw_electronics_01@se22umec005', 'sm_mechanical_02@se22umec005', 'gh_artificial_01@se22umec005']",se22umec005@Timothy
se23uciv003,Charlene,,Christensen,Other,se23uciv003@mahindrauniversity.edu.in,(+91) 9788529404,Civil Engineering,civ,2,"['Web Development', 'Data Analysis', 'Networking', 'Python']",6.37,2000-06-06,"['cr_electrical_02', 'tm_computational_03', 'jl_computer_02']","['cr_electrical_02@se23uciv003', 'tm_computational_03@se23uciv003', 'jl_computer_02@se23uciv003']",se23uciv003@Charlene
se23uciv004,Eric,,Lopez,Other,se23uciv004@mahindrauniversity.edu.in,(+91) 6947637386,Civil Engineering,civ,2,"['Data Analysis', 'Web Development', 'Machine Learning']",9.9,2001-02-07,"['mw_computer_03', 'mr_civil_02', 'kr_electronics_01']","['mw_computer_03@se23uciv004', 'mr_civil_02@se23uciv004', 'kr_electronics_01@se23uciv004']",se23uciv004@Eric
se21umec006,Alexandra,,Knight,Other,se21umec006@mahindrauniversity.edu.in,(+91) 9653503820,Mechanical Engineering,mec,4,"['Web Development', 'Embedded Systems', 'Machine Learning']",8.29,2002-10-19,"['mw_computer_02', 'ss_electronics_01', 'cr_electrical_02']","['mw_computer_02@se21umec006', 'ss_electronics_01@se21umec006', 'cr_electrical_02@se21umec006']",se21umec006@Alexandra
se22uecm007,Bruce,,Ryan,Other,se22uecm007@mahindrauniversity.edu.in,(+91) 8722012115,Electronics and Computation,ecm,3,"['Networking', 'Machine Learning', 'Web Development', 'Python', 'Embedded Systems']",9.39,2000-08-15,"['kb_computational_01', 'cr_electrical_02', 'mr_civil_02', 'db_electronics_01', 'wd_civil_01']","['kb_computational_01@se22uecm007', 'cr_electrical_02@se22uecm007', 'mr_civil_02@se22uecm007', 'db_electronics_01@se22uecm007', 'wd_civil_01@se22uecm007']",se22uecm007@Bruce
se21ucab008,Allison,Bianca,Carter,Other,se21ucab008@mahindrauniversity.edu.in,(+91) 6989609837,Computational Biology,cab,4,"['Machine Learning', 'Data Analysis', 'Python', 'Embedded Systems', 'Web Development']",9.56,2003-01-18,['cr_electrical_01'],['cr_electrical_01@se21ucab008'],se21ucab008@Allison
se23umec007,Joseph,,Pratt,Female,se23umec007@mahindrauniversity.edu.in,(+91) 9192023328,Mechanical Engineering,mec,2,"['Embedded Systems', 'Python', 'Data Analysis', 'Machine Learning']",6.18,2003-04-11,"['sa_electrical_01', 'cr_electrical_01', 'mw_computer_03', 'dm_computer_02']","['sa_electrical_01@se23umec007', 'cr_electrical_01@se23umec007', 'mw_computer_03@se23umec007', 'dm_computer_02@se23umec007']",se23umec007@Joseph
se24uciv005,Madison,,Kane,Other,se24uciv005@mahindrauniversity.edu.in,(+91) 6377506928,Civil Engineering,civ,1,"['Networking', 'Python']",9.7,2002-10-12,"['lf_artificial_01', 'eg_artificial_02']","['lf_artificial_01@se24uciv005', 'eg_artificial_02@se24uciv005']",se24uciv005@Madison
